name,population
"Barra D'Alcântara, PI",3950
"Barras, PI",46941
"Barreiras do Piauí, PI",3344
"Barro Duro, PI",7038
"Batalha, PI",26806
"Bela Vista do Piauí, PI",3999
"Belém do Piauí, PI",3544
"Beneditinos, PI",10462
"Bertolínia, PI",5495
"Betânia do Piauí, PI",6200
"Boa Hora, PI",6744
"Bocaina, PI",4496
"Bom Jesus, PI",24960
"Bom Princípio do Piauí, PI",5608
"Bonfim do Piauí, PI",5654
"Boqueirão do Piauí, PI",6388
"Brasileira, PI",8310
"Brejo do Piauí, PI",3902
"Buriti dos Lopes, PI",19754
"Buriti dos Montes, PI",8223
"Cabeceiras do Piauí, PI",10540
"Cajazeiras do Piauí, PI",3544
"Cajueiro da Praia, PI",7608
"Caldeirão Grande do Piauí, PI",5770
"Campinas do Piauí, PI",5603
"Campo Alegre do Fidalgo, PI",5019
"Campo Grande do Piauí, PI",5919
"Campo Largo do Piauí, PI",7245
"Campo Maior, PI",46770
"Canavieira, PI",3957
"Canto do Buriti, PI",21112
"Capitão de Campos, PI",11388
"Capitão Gervásio Oliveira, PI",4086
"Caracol, PI",10866
"Caraúbas do Piauí, PI",5845
"Caridade do Piauí, PI",5049
"Castelo do Piauí, PI",19715
"Caxingó, PI",5395
"Cocal, PI",27725
"Cocal de Telha, PI",4881
"Cocal dos Alves, PI",6140
"Coivaras, PI",4007
"Colônia do Gurguéia, PI",6451
"Colônia do Piauí, PI",7651
"Conceição do Canindé, PI",4798
"Coronel José Dias, PI",4678
"Corrente, PI",26575
"Cristalândia do Piauí, PI",8264
"Cristino Castro, PI",10401
"Curimatá, PI",11348
"Currais, PI",4939
"Curralinhos, PI",4425
"Curral Novo do Piauí, PI",5316
"Demerval Lobão, PI",13793
"Dirceu Arcoverde, PI",6992
"Dom Expedito Lopes, PI",6884
"Domingos Mourão, PI",4356
"Dom Inocêncio, PI",9546
"Elesbão Veloso, PI",14630
"Eliseu Martins, PI",4900
"Esperantina, PI",39621
"Fartura do Piauí, PI",5295
"Flores do Piauí, PI",4464
"Floresta do Piauí, PI",2556
"Floriano, PI",59840
"Francinópolis, PI",5349
"Francisco Ayres, PI",4373
"Francisco Macedo, PI",3166
"Francisco Santos, PI",9262
"Fronteiras, PI",11590
"Geminiano, PI",5424
"Gilbués, PI",10686
"Guadalupe, PI",10500
"Guaribas, PI",4556
"Hugo Napoleão, PI",3875
"Ilha Grande, PI",9394
"Inhuma, PI",15296
"Ipiranga do Piauí, PI",9782
"Isaías Coelho, PI",8551
"Itainópolis, PI",11507
"Itaueira, PI",11010
"Jacobina do Piauí, PI",5753
"Jaicós, PI",19035
"Jardim do Mulato, PI",4494
"Jatobá do Piauí, PI",4855
"Jerumenha, PI",4457
"João Costa, PI",3010
"Joaquim Pires, PI",14332
"Joca Marques, PI",5419
"José de Freitas, PI",39072
"Juazeiro do Piauí, PI",5472
"Júlio Borges, PI",5614
"Jurema, PI",4748
"Lagoinha do Piauí, PI",2831
"Lagoa Alegre, PI",8504
"Lagoa do Barro do Piauí, PI",4653
"Lagoa de São Francisco, PI",6738
"Lagoa do Piauí, PI",4052
"Lagoa do Sítio, PI",5154
"Landri Sales, PI",5307
"Luís Correia, PI",30177
"Luzilândia, PI",25467
"Madeiro, PI",8276
"Manoel Emídio, PI",5348
"Marcolândia, PI",8439
"Marcos Parente, PI",4550
"Massapê do Piauí, PI",6434
"Matias Olímpio, PI",10913
"Miguel Alves, PI",33684
"Miguel Leão, PI",1250
"Milton Brandão, PI",6617
"Monsenhor Gil, PI",10565
"Monsenhor Hipólito, PI",7729
"Monte Alegre do Piauí, PI",10611
"Morro Cabeça no Tempo, PI",4533
"Morro do Chapéu do Piauí, PI",6781
"Murici dos Portelas, PI",9105
"Nazaré do Piauí, PI",7356
"Nazária, PI",8536
"Nossa Senhora de Nazaré, PI",4847
"Nossa Senhora dos Remédios, PI",8661
"Novo Oriente do Piauí, PI",6575
"Novo Santo Antônio, PI",2979
"Oeiras, PI",36971
"Olho D'Água do Piauí, PI",2449
"Padre Marcos, PI",6862
"Paes Landim, PI",4132
"Pajeú do Piauí, PI",3375
"Palmeira do Piauí, PI",5051
"Palmeirais, PI",14488
"Paquetá, PI",3953
"Parnaguá, PI",10762
"Parnaíba, PI",152653
"Passagem Franca do Piauí, PI",4302
"Patos do Piauí, PI",6377
"Pau D'Arco do Piauí, PI",4023
"Paulistana, PI",20490
"Pavussu, PI",3685
"Pedro II, PI",38704
"Pedro Laurentino, PI",2529
"Nova Santa Rita, PI",4365
"Picos, PI",78002
"Pimenteiras, PI",12115
"Pio IX, PI",18389
"Piracuruca, PI",28703
"Piripiri, PI",63694
"Porto, PI",12526
"Porto Alegre do Piauí, PI",2700
"Prata do Piauí, PI",3153
"Queimada Nova, PI",8966
"Redenção do Gurguéia, PI",8758
"Regeneração, PI",17978
"Riacho Frio, PI",4316
"Ribeira do Piauí, PI",4464
"Ribeiro Gonçalves, PI",7305
"Rio Grande do Piauí, PI",6431
"Santa Cruz do Piauí, PI",6232
"Santa Cruz dos Milagres, PI",4004
"Santa Filomena, PI",6252
"Santa Luz, PI",5836
"Santana do Piauí, PI",4625
"Santa Rosa do Piauí, PI",5258
"Santo Antônio de Lisboa, PI",6388
"Santo Antônio dos Milagres, PI",2155
"Santo Inácio do Piauí, PI",3785
"São Braz do Piauí, PI",4444
"São Félix do Piauí, PI",2954
"São Francisco de Assis do Piauí, PI",5731
"São Francisco do Piauí, PI",6425
"São Gonçalo do Gurguéia, PI",3025
"São Gonçalo do Piauí, PI",4999
"São João da Canabrava, PI",4602
"São João da Fronteira, PI",6019
"São João da Serra, PI",6157
"São João da Varjota, PI",4832
"São João do Arraial, PI",7937
"São João do Piauí, PI",20537
"São José do Divino, PI",5338
"São José do Peixe, PI",3750
"São José do Piauí, PI",6710
"São Julião, PI",6353
"São Lourenço do Piauí, PI",4568
"São Luis do Piauí, PI",2642
"São Miguel da Baixa Grande, PI",2449
"São Miguel do Fidalgo, PI",3040
"São Miguel do Tapuio, PI",17686
"São Pedro do Piauí, PI",14255
"São Raimundo Nonato, PI",34535
"Sebastião Barros, PI",3488
"Sebastião Leal, PI",4286
"Sigefredo Pacheco, PI",10024
"Simões, PI",14615
"Simplício Mendes, PI",12663
"Socorro do Piauí, PI",4576
"Sussuapara, PI",6692
"Tamboril do Piauí, PI",2908
"Tanque do Piauí, PI",2756
"Teresina, PI",861442
"União, PI",44396
"Uruçuí, PI",21457
"Valença do Piauí, PI",20906
"Várzea Branca, PI",4956
"Várzea Grande, PI",4397
"Vera Mendes, PI",3075
"Vila Nova do Piauí, PI",2990
"Wall Ferraz, PI",4454
"Abaiara, CE",11663
"Acarape, CE",15399
"Acaraú, CE",62557
"Acopiara, CE",53931
"Aiuaba, CE",17303
"Alcântaras, CE",11529
"Altaneira, CE",7521
"Alto Santo, CE",17096
"Amontada, CE",43131
"Antonina do Norte, CE",7328
"Apuiarés, CE",14814
"Aquiraz, CE",79563
