name,population
"Woodson County, KS",3183
"Wyandotte County, KS",165324
"Adair County, KY",19215
"Allen County, KY",21122
"Anderson County, KY",22663
"Ballard County, KY",7979
"Barren County, KY",44176
"Bath County, KY",12383
"Bell County, KY",26569
"Boone County, KY",131533
"Bourbon County, KY",20184
"Boyd County, KY",47240
"Boyle County, KY",30100
"Bracken County, KY",8239
"Breathitt County, KY",12726
"Breckinridge County, KY",20388
"Bullitt County, KY",81069
"Butler County, KY",12772
"Caldwell County, KY",12715
"Calloway County, KY",39135
"Campbell County, KY",93152
"Carlisle County, KY",4771
"Carroll County, KY",10737
"Carter County, KY",27004
"Casey County, KY",15888
"Christian County, KY",71671
"Clark County, KY",36249
"Clay County, KY",20105
"Clinton County, KY",10206
"Crittenden County, KY",8915
"Cumberland County, KY",6659
"Daviess County, KY",101104
"Edmonson County, KY",12274
"Elliott County, KY",7508
"Estill County, KY",14198
"Fayette County, KY",323780
"Fleming County, KY",14432
"Floyd County, KY",35845
"Franklin County, KY",50815
"Fulton County, KY",6120
"Gallatin County, KY",8832
"Garrard County, KY",17560
"Grant County, KY",25121
"Graves County, KY",37317
"Grayson County, KY",26321
"Green County, KY",11049
"Greenup County, KY",35268
"Hancock County, KY",8758
"Hardin County, KY",110356
"Harlan County, KY",26409
"Harrison County, KY",18778
"Hart County, KY",18906
"Henderson County, KY",45591
"Henry County, KY",16106
"Hickman County, KY",4421
"Hopkins County, KY",45068
"Jackson County, KY",13442
"Jefferson County, KY",770517
"Jessamine County, KY",53920
"Johnson County, KY",22386
"Kenton County, KY",166051
"Knott County, KY",15126
"Knox County, KY",31304
"Larue County, KY",14307
"Laurel County, KY",60669
"Lawrence County, KY",15571
"Lee County, KY",7033
"Leslie County, KY",10143
"Letcher County, KY",21899
